method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
RegretDRO,11,g2,123,38946,0.93496,0.48315,0.35036,0.07576,0.2746
RegretDRO,11,g3,200,38946,0.755,0.47194,0.57501,0.42112,0.15388
RegretDRO,22,g0,303,38946,0.77228,0.7711,0.57736,0.38184,0.19552
RegretDRO,22,g1,294,38946,0.78231,0.76185,0.56538,0.37567,0.1897
RegretDRO,22,g2,123,38946,0.92683,0.48089,0.49985,0.07576,0.42409
RegretDRO,22,g3,200,38946,0.75,0.49231,0.53556,0.42112,0.11443
RegretDRO,33,g0,303,38946,0.78218,0.77906,0.49791,0.38184,0.11607
RegretDRO,33,g1,294,38946,0.77891,0.74239,0.53156,0.37567,0.15589
RegretDRO,33,g2,123,38946,0.93496,0.48315,0.2791,0.07576,0.20334
RegretDRO,33,g3,200,38946,0.755,0.46277,0.54663,0.42112,0.12551
RegretDRO,44,g0,303,38946,0.74917,0.74383,0.52716,0.38184,0.14532
RegretDRO,44,g1,294,38946,0.78231,0.74628,0.53818,0.37567,0.16251
RegretDRO,44,g2,123,38946,0.91057,0.47635,0.38449,0.07576,0.30873
RegretDRO,44,g3,200,38946,0.74,0.47681,0.55514,0.42112,0.13401
RegretDRO,55,g0,303,38946,0.77228,0.76864,0.50084,0.38184,0.119
RegretDRO,55,g1,294,38946,0.78571,0.74668,0.53365,0.37567,0.15797
RegretDRO,55,g2,123,38946,0.93496,0.48315,0.26813,0.07576,0.19237
RegretDRO,55,g3,200,38946,0.735,0.44575,0.53018,0.42112,0.10906
AnchorsOnly,42,g0,303,38946,0.76568,0.76424,0.56369,0.38184,0.18185
AnchorsOnly,42,g1,294,38946,0.80612,0.78288,0.54036,0.37567,0.16468
AnchorsOnly,42,g2,123,38946,0.93496,0.48315,0.39334,0.07576,0.31758
AnchorsOnly,42,g3,200,38946,0.725,0.51817,0.62651,0.42112,0.20539
AnchorsOnly,1337,g0,303,38946,0.75908,0.75496,0.5607,0.38184,0.17885
AnchorsOnly,1337,g1,294,38946,0.7551,0.72701,0.61516,0.37567,0.23949
AnchorsOnly,1337,g2,123,38946,0.92683,0.48089,0.50622,0.07576,0.43046
AnchorsOnly,1337,g3,200,38946,0.74,0.47266,0.60488,0.42112,0.18376
AnchorsOnly,7,g0,303,38946,0.77558,0.77293,0.57604,0.38184,0.1942
AnchorsOnly,7,g1,294,38946,0.77211,0.73946,0.60002,0.37567,0.22435
AnchorsOnly,7,g2,123,38946,0.93496,0.48315,0.41924,0.07576,0.34348
AnchorsOnly,7,g3,200,38946,0.735,0.49134,0.61737,0.42112,0.19625
AnchorsOnly,2024,g0,303,38946,0.75578,0.75279,0.57369,0.38184,0.19185
AnchorsOnly,2024,g1,294,38946,0.77211,0.75149,0.58559,0.37567,0.20991
AnchorsOnly,2024,g2,123,38946,0.93496,0.48315,0.44778,0.07576,0.37201
AnchorsOnly,2024,g3,200,38946,0.735,0.462,0.59654,0.42112,0.17542
AnchorsOnly,31337,g0,303,38946,0.77228,0.77041,0.59188,0.38184,0.21004
AnchorsOnly,31337,g1,294,38946,0.78571,0.75854,0.62152,0.37567,0.24584
AnchorsOnly,31337,g2,123,38946,0.93496,0.48315,0.47196,0.07576,0.3962
AnchorsOnly,31337,g3,200,38946,0.74,0.48472,0.67481,0.42112,0.25369
AnchorsOnly,11,g0,303,38946,0.76898,0.76762,0.54039,0.38184,0.15855
AnchorsOnly,11,g1,294,38946,0.79592,0.76954,0.52901,0.37567,0.15334
AnchorsOnly,11,g2,123,38946,0.93496,0.48315,0.35618,0.07576,0.28042
